GWAS_ID	sourceId	Category	cell_types	rationale	traitFromSource	nSamples	nCases	publicationFirstAuthor	publicationDate	pubmedId	finemappingMethod	available_credible_sets	study_url
RheumatoidArthritis_Ishigaki2022	GCST90132222	immune_disease	T;B;Mono;Fibroblast	Immune susceptibility and synovial fibroblast disease biology; not fibroblast-specific inherited risk.	Rheumatoid arthritis	276020	35871	Ishigaki K	2022-11-04	36333501	PICS	96	https://pubmed.ncbi.nlm.nih.gov/36333501/
Psoriasis_Tsoi2017	GCST004346	immune_disease	T	T-cell-mediated inflammatory disease with additional epithelial mechanisms.	Psoriasis	287323	11988	Tsoi LC	2017-05-24	28537254	PICS	10	https://pubmed.ncbi.nlm.nih.gov/28537254/
Vitiligo_Jin2016	GCST004785	immune_disease	NK;T	Exploratory NK and T-cell autoimmune comparator; melanocyte biology also contributes and NK specificity is not established.	Vitiligo	2853	2853	Jin Y	2016-11-01	27723757	PICS	42	https://pubmed.ncbi.nlm.nih.gov/27723757/
AtrialFibrillation_Roselli2025	GCST90559230	cardiac	Cardiomyocyte	Cardiac electrophysiology; interpretation depends on atrial versus ventricular identity.	Atrial fibrillation	1650345	181446	Roselli C	2025-03-06	40050429	PICS	307	https://pubmed.ncbi.nlm.nih.gov/40050429/
DilatedCardiomyopathy_Jurgens2024	GCST90624428	cardiac	Cardiomyocyte	Myocardial contractile disease; direct GWAS rather than MTAG.	Dilated cardiomyopathy	955733	9365	Jurgens SJ	2024-11-21	39572784	PICS	10	https://pubmed.ncbi.nlm.nih.gov/39572784/
ColorectalCancer_Law2019	GCST007992	colon_epithelial	Colonocyte	Colorectal epithelial neoplasia; mature colonocytes are a lineage proxy, not a proven exclusive initiating cell.	Colorectal cancer	92967	31197	Law PJ	2019-05-14	31089142	PICS	66	https://pubmed.ncbi.nlm.nih.gov/31089142/
CAD_Aragam2022_EUR	GCST90132314	vascular	Endothelial;Smooth_muscle;Mono	Atherosclerosis implicates vascular and immune cells; extensive SuSiE-inf coverage.	Coronary artery disease	1165690	0	Aragam KG	2022-12-06	36474045	SuSiE-inf	245	https://pubmed.ncbi.nlm.nih.gov/36474045/
SystolicBP_Keaton2024	GCST90310294	vascular	Smooth_muscle;Endothelial;Pericyte	Vascular tone and pressure; pericytes are a broader mural-cell proxy and renal mechanisms also contribute.	Systolic blood pressure	1028980	0	Keaton JM	2024-04-30	38689001	SuSiE-inf	1131	https://pubmed.ncbi.nlm.nih.gov/38689001/
DiastolicBP_Keaton2024	GCST90310295	vascular	Smooth_muscle;Endothelial;Pericyte	Complementary blood-pressure phenotype; not independent of systolic BP.	Diastolic blood pressure	1028980	0	Keaton JM	2024-04-30	38689001	SuSiE-inf	1077	https://pubmed.ncbi.nlm.nih.gov/38689001/
Dupuytren_Riesmeijer2024	GCST90301252	fibroblast	Fibroblast	Fibroproliferative disease with myofibroblast biology; tissue-specific comparator.	Dupuytren's disease	58343	11320	Riesmeijer SA	2024-01-03	38172110	SuSiE-inf	83	https://pubmed.ncbi.nlm.nih.gov/38172110/
LDL_Graham2021	GCST90239655	hepatic_lipids	Hepatocyte	Hepatic lipoprotein metabolism; additional tissues contribute.	Low density lipoprotein cholesterol levels	1654960	0	Graham SE	2021-12-09	34887591	PICS	558	https://pubmed.ncbi.nlm.nih.gov/34887591/
HDL_Graham2021	GCST90239649	hepatic_lipids	Hepatocyte	Complementary lipid transport phenotype; correlated with other lipid traits.	High density lipoprotein cholesterol levels	1654960	0	Graham SE	2021-12-09	34887591	PICS	811	https://pubmed.ncbi.nlm.nih.gov/34887591/
Triglycerides_Graham2021	GCST90239661	hepatic_lipids	Hepatocyte	Hepatic triglyceride and lipoprotein metabolism; additional tissues contribute.	Triglyceride levels	1654960	0	Graham SE	2021-12-09	34887591	PICS	683	https://pubmed.ncbi.nlm.nih.gov/34887591/
ALT_Ghouse2024	GCST90428729	liver	Hepatocyte	Liver enzyme phenotype related to hepatocyte function and injury.	Alanine aminotransferase levels	1010710	0	Ghouse J	2024-04-17	38632349	PICS	281	https://pubmed.ncbi.nlm.nih.gov/38632349/
AcutePancreatitis_Bourgault2023	GCST90255375	pancreatic_exocrine	Pancreatic_acinar;Pancreatic_ductal	Exocrine pancreatic injury and digestive-enzyme biology; only five SuSiE-inf credible sets.	Acute pancreatitis	855309	10630	Bourgault J	2023-01-31	36736436	SuSiE-inf	5	https://pubmed.ncbi.nlm.nih.gov/36736436/
ChronicPancreatitis_Verma2024	GCST90480358	pancreatic_exocrine	Pancreatic_acinar;Pancreatic_ductal	Complementary chronic exocrine pancreatic disease; phenotype-code ascertainment.	Chronic pancreatitis (PheCode 577.2)	629889	4814	Verma A	2024-07-19	39024449	PICS	31	https://pubmed.ncbi.nlm.nih.gov/39024449/
PancreaticCancer_Klein2018	GCST005434	pancreatic_exocrine	Pancreatic_ductal;Pancreatic_acinar	Ductal adenocarcinoma susceptibility; both ductal and acinar-to-ductal routes are plausible, not uniquely ductal origin.	Pancreatic cancer	21536	9040	Klein AP	2018-02-08	29422604	PICS	15	https://pubmed.ncbi.nlm.nih.gov/29422604/
T2D_Suzuki2024	GCST90492734	pancreatic_endocrine	Pancreatic_beta;Pancreatic_alpha	Strong beta-cell evidence with alpha-cell regulatory involvement; not alpha-specific and includes systemic insulin resistance.	Type 2 diabetes	2535601	428452	Suzuki K	2024-02-19	38374256	PICS	687	https://pubmed.ncbi.nlm.nih.gov/38374256/
FastingGlucose_Chen2023	GCST90278658	pancreatic_endocrine	Pancreatic_beta;Pancreatic_alpha;Hepatocyte	Glycaemic physiology comparator; alpha cells are a broader endocrine proxy, not a direct glucagon GWAS.	Fasting glucose	225951	0	Chen CY	2023-11-16	38116116	SuSiE-inf	171	https://pubmed.ncbi.nlm.nih.gov/38116116/
FastingGlucose_Jee2025	GCST90662896	pancreatic_endocrine	Pancreatic_beta;Pancreatic_alpha;Hepatocyte	Larger complementary glycaemic study; overlaps conceptually with Chen and is not independent replication.	Fasting blood glucose	928679	0	Jee YH	2025-05-28	40436827	PICS	253	https://pubmed.ncbi.nlm.nih.gov/40436827/
